,productID,reviewerID,vote,rating,date,helpfulness_votes,total_votes,helpfulness_rating,category,brand,title,year,month,month year
34146,B00006Z7I3,A3V6Z4RCDGRC44,"[12, 14]",4,2003-02-24,12,14,86.0,PlayStation 2 Games,,The Getaway - PlayStation 2,2003,2,2003-02
34147,B00006Z7I3,A2U0DKQPZSD50Y,"[0, 1]",5,2003-10-10,0,1,,PlayStation 2 Games,,The Getaway - PlayStation 2,2003,10,2003-10
34149,B00006Z7I3,A2WS409CFVVKDS,"[2, 2]",3,2005-03-30,2,2,100.0,PlayStation 2 Games,,The Getaway - PlayStation 2,2005,3,2005-03
34150,B00006Z7I3,A1PCQHQ6NPGL9F,"[1, 1]",4,2003-02-09,1,1,100.0,PlayStation 2 Games,,The Getaway - PlayStation 2,2003,2,2003-02
34151,B00006Z7I3,A27Z9FV4D0EYHT,"[0, 0]",4,2003-02-01,0,0,,PlayStation 2 Games,,The Getaway - PlayStation 2,2003,2,2003-02
34152,B00006Z7I3,A2JX4CKK9HLTK3,"[1, 1]",4,2003-03-08,1,1,100.0,PlayStation 2 Games,,The Getaway - PlayStation 2,2003,3,2003-03
34153,B00006Z7I3,A24M1DAMRGDL,"[2, 2]",4,2004-01-05,2,2,100.0,PlayStation 2 Games,,The Getaway - PlayStation 2,2004,1,2004-01
34154,B00006Z7I3,A363QRXP83K8ZE,"[3, 3]",4,2003-06-02,3,3,100.0,PlayStation 2 Games,,The Getaway - PlayStation 2,2003,6,2003-06
34155,B00006Z7I3,A7E0IHHPYOM5I,"[1, 4]",4,2003-07-16,1,4,25.0,PlayStation 2 Games,,The Getaway - PlayStation 2,2003,7,2003-07
34156,B00006Z7I3,AD0J5KK4WQXNS,"[1, 2]",2,2005-01-08,1,2,50.0,PlayStation 2 Games,,The Getaway - PlayStation 2,2005,1,2005-01
34157,B00006Z7I3,A10IJF7UD9I86G,"[6, 7]",5,2002-12-28,6,7,86.0,PlayStation 2 Games,,The Getaway - PlayStation 2,2002,12,2002-12
34158,B00006Z7I3,A1JHJ48J9EZNMH,"[2, 2]",3,2004-07-12,2,2,100.0,PlayStation 2 Games,,The Getaway - PlayStation 2,2004,7,2004-07
34160,B00006Z7I3,A1A8VZ2Q7P9I0Q,"[1, 1]",2,2003-02-02,1,1,100.0,PlayStation 2 Games,,The Getaway - PlayStation 2,2003,2,2003-02
34162,B00006Z7I3,A1LVMQ52YODRMO,"[3, 4]",3,2003-03-10,3,4,75.0,PlayStation 2 Games,,The Getaway - PlayStation 2,2003,3,2003-03
34164,B00006Z7I3,A3MPGKS5GBCQGB,"[0, 0]",4,2003-01-26,0,0,,PlayStation 2 Games,,The Getaway - PlayStation 2,2003,1,2003-01
34166,B00006Z7I3,A3MCIFXE7SNAX8,"[1, 1]",2,2003-02-05,1,1,100.0,PlayStation 2 Games,,The Getaway - PlayStation 2,2003,2,2003-02
34168,B00006Z7I3,A3I8AY3VRIZ61Y,"[0, 0]",4,2003-02-19,0,0,,PlayStation 2 Games,,The Getaway - PlayStation 2,2003,2,2003-02
34170,B00006Z7I3,A28O7EFLUY5UUL,"[8, 8]",4,2002-12-29,8,8,100.0,PlayStation 2 Games,,The Getaway - PlayStation 2,2002,12,2002-12
34171,B00006Z7I3,AM41P9Q1GFC7O,"[4, 4]",5,2003-08-14,4,4,100.0,PlayStation 2 Games,,The Getaway - PlayStation 2,2003,8,2003-08
34507,B00007E1OA,A2582KMXLK2P06,"[2, 3]",4,2006-11-10,2,3,67.0,PlayStation 2 Games,,Devil May Cry 2,2006,11,2006-11
34510,B00007E1OA,A3QJZCBZ1D7XL9,"[4, 25]",4,2003-01-26,4,25,16.0,PlayStation 2 Games,,Devil May Cry 2,2003,1,2003-01
34511,B00007E1OA,A3J8ZMGDTADUN5,"[1, 1]",5,2003-04-21,1,1,100.0,PlayStation 2 Games,,Devil May Cry 2,2003,4,2003-04
34512,B00007E1OA,AGEEXB89TC8XI,"[0, 0]",3,2003-02-05,0,0,,PlayStation 2 Games,,Devil May Cry 2,2003,2,2003-02
34513,B00007E1OA,AKOACC54YJOLE,"[0, 0]",3,2003-07-26,0,0,,PlayStation 2 Games,,Devil May Cry 2,2003,7,2003-07
34514,B00007E1OA,A3OOIS6U00QJJX,"[0, 0]",3,2010-09-04,0,0,,PlayStation 2 Games,,Devil May Cry 2,2010,9,2010-09
34518,B00007E1OA,A3EDHLPTBO0XCX,"[0, 0]",4,2004-03-01,0,0,,PlayStation 2 Games,,Devil May Cry 2,2004,3,2004-03
34519,B00007E1OA,AUF9S8WC06WPG,"[0, 0]",5,2013-05-13,0,0,,PlayStation 2 Games,,Devil May Cry 2,2013,5,2013-05
34521,B00007E1OA,A1X4P6CN08U57A,"[1, 1]",1,2010-11-26,1,1,100.0,PlayStation 2 Games,,Devil May Cry 2,2010,11,2010-11
34523,B00007E1OA,A3NN4RTUN0LHBN,"[0, 1]",3,2004-01-03,0,1,,PlayStation 2 Games,,Devil May Cry 2,2004,1,2004-01
34524,B00007E1OA,ALZ5Y1CE0DWQ1,"[51, 60]",2,2003-02-09,51,60,85.0,PlayStation 2 Games,,Devil May Cry 2,2003,2,2003-02
34525,B00007E1OA,ADM2PRAOMES7E,"[0, 0]",4,2003-03-11,0,0,,PlayStation 2 Games,,Devil May Cry 2,2003,3,2003-03
34526,B00007E1OA,AYD0SQ01HVCRT,"[0, 0]",3,2003-08-14,0,0,,PlayStation 2 Games,,Devil May Cry 2,2003,8,2003-08
34527,B00007E1OA,A6VFFRIHAXKRL,"[0, 0]",3,2010-11-19,0,0,,PlayStation 2 Games,,Devil May Cry 2,2010,11,2010-11
34528,B00007E1OA,AVKFW09X08QYZ,"[3, 5]",4,2003-07-25,3,5,60.0,PlayStation 2 Games,,Devil May Cry 2,2003,7,2003-07
34529,B00007E1OA,A34WVVGTD4RI4V,"[0, 0]",5,2013-04-03,0,0,,PlayStation 2 Games,,Devil May Cry 2,2013,4,2013-04
34533,B00007E1OA,A2LY7GPTXH2A9B,"[1, 3]",2,2005-06-19,1,3,33.0,PlayStation 2 Games,,Devil May Cry 2,2005,6,2005-06
34535,B00007E1OA,AJKWF4W7QD4NS,"[10, 10]",3,2003-02-07,10,10,100.0,PlayStation 2 Games,,Devil May Cry 2,2003,2,2003-02
34537,B00007E1OA,A1NMEHU3BMKBR8,"[0, 0]",2,2004-07-08,0,0,,PlayStation 2 Games,,Devil May Cry 2,2004,7,2004-07
34541,B00007E1OA,A3IBXED14SKZ8Y,"[2, 2]",2,2004-12-28,2,2,100.0,PlayStation 2 Games,,Devil May Cry 2,2004,12,2004-12
34542,B00007E1OA,A6DR3VOI9PIA5,"[0, 1]",1,2004-10-30,0,1,,PlayStation 2 Games,,Devil May Cry 2,2004,10,2004-10
34544,B00007E1OA,AQI2CW6UKF1ES,"[1, 3]",3,2003-01-31,1,3,33.0,PlayStation 2 Games,,Devil May Cry 2,2003,1,2003-01
34545,B00007E1OA,AZNKIND8TQ588,"[2, 2]",2,2004-12-02,2,2,100.0,PlayStation 2 Games,,Devil May Cry 2,2004,12,2004-12
34546,B00007E1OA,A24HRHB5VOMXS7,"[3, 3]",4,2003-03-04,3,3,100.0,PlayStation 2 Games,,Devil May Cry 2,2003,3,2003-03
34547,B00007E1OA,ADNY9WIUK77F2,"[1, 4]",2,2004-01-03,1,4,25.0,PlayStation 2 Games,,Devil May Cry 2,2004,1,2004-01
34548,B00007E1OA,A3082ZTQD6YJFD,"[0, 0]",2,2003-02-03,0,0,,PlayStation 2 Games,,Devil May Cry 2,2003,2,2003-02
34549,B00007E1OA,A3MPGKS5GBCQGB,"[0, 0]",5,2003-02-07,0,0,,PlayStation 2 Games,,Devil May Cry 2,2003,2,2003-02
34550,B00007E1OA,A2L4XGVPR42KHL,"[5, 5]",4,2003-03-28,5,5,100.0,PlayStation 2 Games,,Devil May Cry 2,2003,3,2003-03
34551,B00007E1OA,AQMWZIH22R6LE,"[2, 3]",4,2003-08-06,2,3,67.0,PlayStation 2 Games,,Devil May Cry 2,2003,8,2003-08
34553,B00007E1OA,A2Y3WWPUKIJ59I,"[0, 0]",3,2014-06-10,0,0,,PlayStation 2 Games,,Devil May Cry 2,2014,6,2014-06
34554,B00007E1OA,AV5OTQX8APCYI,"[1, 1]",4,2004-06-22,1,1,100.0,PlayStation 2 Games,,Devil May Cry 2,2004,6,2004-06
34866,B00007KUUD,A29TNXQ1GPRHC4,"[0, 0]",5,2014-07-14,0,0,,GameCube Games,,Skies of Arcadia : Legends,2014,7,2014-07
34867,B00007KUUD,A31RM5QU797HPJ,"[0, 1]",4,2005-08-21,0,1,,GameCube Games,,Skies of Arcadia : Legends,2005,8,2005-08
34868,B00007KUUD,AX2SQL63A5CMV,"[9, 11]",4,2003-02-15,9,11,82.0,GameCube Games,,Skies of Arcadia : Legends,2003,2,2003-02
34869,B00007KUUD,A2YKRLLZNJ3Q8P,"[0, 0]",5,2012-12-17,0,0,,GameCube Games,,Skies of Arcadia : Legends,2012,12,2012-12
34872,B00007KUUD,A7FVX0OOEIHYZ,"[56, 59]",4,2003-02-24,56,59,95.0,GameCube Games,,Skies of Arcadia : Legends,2003,2,2003-02
34875,B00007KUUD,A3IW4NCN79PU9I,"[3, 3]",4,2005-01-11,3,3,100.0,GameCube Games,,Skies of Arcadia : Legends,2005,1,2005-01
34876,B00007KUUD,A3RHWM5NKPTY9J,"[13, 16]",5,2002-12-07,13,16,81.0,GameCube Games,,Skies of Arcadia : Legends,2002,12,2002-12
34877,B00007KUUD,A169I83JL8QJGN,"[4, 5]",4,2004-09-23,4,5,80.0,GameCube Games,,Skies of Arcadia : Legends,2004,9,2004-09
34878,B00007KUUD,A1L1N3J6XNABO2,"[0, 0]",5,2010-10-22,0,0,,GameCube Games,,Skies of Arcadia : Legends,2010,10,2010-10
34879,B00007KUUD,A22LAB0JXZUKO0,"[2, 4]",5,2004-03-05,2,4,50.0,GameCube Games,,Skies of Arcadia : Legends,2004,3,2004-03
34880,B00007KUUD,A1NJ3SRMUS03PI,"[0, 0]",5,2003-04-05,0,0,,GameCube Games,,Skies of Arcadia : Legends,2003,4,2003-04
34881,B00007KUUD,A1IQV6AI7L9NOK,"[1, 1]",5,2011-01-25,1,1,100.0,GameCube Games,,Skies of Arcadia : Legends,2011,1,2011-01
34882,B00007KUUD,A1NH2K8N77S5RY,"[2, 2]",5,2009-04-02,2,2,100.0,GameCube Games,,Skies of Arcadia : Legends,2009,4,2009-04
34883,B00007KUUD,A2MYU37X2I8L7I,"[0, 0]",5,2011-11-05,0,0,,GameCube Games,,Skies of Arcadia : Legends,2011,11,2011-11
34884,B00007KUUD,A1DDG2R80UWTPI,"[1, 1]",5,2013-04-07,1,1,100.0,GameCube Games,,Skies of Arcadia : Legends,2013,4,2013-04
34885,B00007KUUD,A3KZ7OH4VRL048,"[2, 2]",4,2009-01-16,2,2,100.0,GameCube Games,,Skies of Arcadia : Legends,2009,1,2009-01
34888,B00007KUUD,A3V6Z4RCDGRC44,"[1, 1]",5,2012-07-07,1,1,100.0,GameCube Games,,Skies of Arcadia : Legends,2012,7,2012-07
34889,B00007KUUD,A5ZNL7B710PCB,"[0, 0]",5,2003-04-11,0,0,,GameCube Games,,Skies of Arcadia : Legends,2003,4,2003-04
34891,B00007KUUD,AYRW03F5DJNCA,"[2, 2]",4,2004-05-05,2,2,100.0,GameCube Games,,Skies of Arcadia : Legends,2004,5,2004-05
34894,B00007KUUD,A3PASG15BRR40D,"[0, 0]",4,2003-04-04,0,0,,GameCube Games,,Skies of Arcadia : Legends,2003,4,2003-04
34896,B00007KUUD,AZAH84SERW5GR,"[1, 1]",5,2005-06-09,1,1,100.0,GameCube Games,,Skies of Arcadia : Legends,2005,6,2005-06
34897,B00007KUUD,A5CWLQF6QO3CN,"[32, 33]",5,2004-05-18,32,33,97.0,GameCube Games,,Skies of Arcadia : Legends,2004,5,2004-05
34917,B00007LV7Y,A35R8PJSEURHHF,"[1, 7]",3,2006-05-22,1,7,14.0,PlayStation 2 Games,,Silent Hill 3,2006,5,2006-05
34918,B00007LV7Y,A1PID2MT8MMPAF,"[12, 26]",4,2003-06-18,12,26,46.0,PlayStation 2 Games,,Silent Hill 3,2003,6,2003-06
34920,B00007LV7Y,A3DTM154O4UUP6,"[15, 18]",4,2003-08-19,15,18,83.0,PlayStation 2 Games,,Silent Hill 3,2003,8,2003-08
34921,B00007LV7Y,A2582KMXLK2P06,"[4, 4]",5,2006-11-01,4,4,100.0,PlayStation 2 Games,,Silent Hill 3,2006,11,2006-11
34922,B00007LV7Y,AVX1L42T98R8P,"[4, 6]",5,2008-08-06,4,6,67.0,PlayStation 2 Games,,Silent Hill 3,2008,8,2008-08
34923,B00007LV7Y,A5I88702K12HM,"[3, 10]",3,2006-06-21,3,10,30.0,PlayStation 2 Games,,Silent Hill 3,2006,6,2006-06
34924,B00007LV7Y,A29YS9QSGOKS4O,"[1, 17]",2,2005-05-21,1,17,6.0,PlayStation 2 Games,,Silent Hill 3,2005,5,2005-05
34925,B00007LV7Y,A37HCSGGRH8UO6,"[5, 14]",3,2003-09-01,5,14,36.0,PlayStation 2 Games,,Silent Hill 3,2003,9,2003-09
34928,B00007LV7Y,A169I83JL8QJGN,"[0, 0]",5,2003-08-13,0,0,,PlayStation 2 Games,,Silent Hill 3,2003,8,2003-08
34931,B00007LV7Y,A16CRMFF3M599G,"[1, 20]",1,2012-01-13,1,20,5.0,PlayStation 2 Games,,Silent Hill 3,2012,1,2012-01
34932,B00007LV7Y,AT576Z9DC6HJ0,"[64, 70]",4,2003-07-17,64,70,91.0,PlayStation 2 Games,,Silent Hill 3,2003,7,2003-07
34933,B00007LV7Y,AN2U6056UFA9S,"[0, 0]",5,2005-01-15,0,0,,PlayStation 2 Games,,Silent Hill 3,2005,1,2005-01
34934,B00007LV7Y,A1UB81CPBWN5IC,"[0, 0]",5,2004-09-29,0,0,,PlayStation 2 Games,,Silent Hill 3,2004,9,2004-09
34936,B00007LV7Y,A3NN4RTUN0LHBN,"[1, 1]",5,2003-12-17,1,1,100.0,PlayStation 2 Games,,Silent Hill 3,2003,12,2003-12
34939,B00007LV7Y,AVNNTEVPYHEMR,"[2, 2]",5,2005-04-04,2,2,100.0,PlayStation 2 Games,,Silent Hill 3,2005,4,2005-04
34941,B00007LV7Y,A3O5JXIMC4LR,"[4, 4]",5,2008-07-26,4,4,100.0,PlayStation 2 Games,,Silent Hill 3,2008,7,2008-07
34943,B00007LV7Y,A7YGL1V8QO2GB,"[0, 0]",5,2004-09-05,0,0,,PlayStation 2 Games,,Silent Hill 3,2004,9,2004-09
34944,B00007LV7Y,A5Y2AJHJAM2KG,"[1, 1]",4,2004-03-08,1,1,100.0,PlayStation 2 Games,,Silent Hill 3,2004,3,2004-03
34945,B00007LV7Y,A2CZBGIJP8TZ1T,"[2, 2]",5,2005-05-18,2,2,100.0,PlayStation 2 Games,,Silent Hill 3,2005,5,2005-05
34946,B00007LV7Y,A2E0Y36180VBTN,"[0, 0]",5,2013-05-13,0,0,,PlayStation 2 Games,,Silent Hill 3,2013,5,2013-05
34947,B00007LV7Y,AZB0MVRWKL8TE,"[0, 0]",4,2003-11-05,0,0,,PlayStation 2 Games,,Silent Hill 3,2003,11,2003-11
34948,B00007LV7Y,AVKFW09X08QYZ,"[2, 2]",3,2003-09-06,2,2,100.0,PlayStation 2 Games,,Silent Hill 3,2003,9,2003-09
34950,B00007LV7Y,A7EFNIWD0HGFD,"[1, 13]",3,2006-04-24,1,13,8.0,PlayStation 2 Games,,Silent Hill 3,2006,4,2006-04
34952,B00007LV7Y,A1M4NJYP0WNL8Q,"[2, 2]",4,2003-08-25,2,2,100.0,PlayStation 2 Games,,Silent Hill 3,2003,8,2003-08
34953,B00007LV7Y,A1DUWRMZVLRKAJ,"[2, 2]",5,2010-01-14,2,2,100.0,PlayStation 2 Games,,Silent Hill 3,2010,1,2010-01
34955,B00007LV7Y,AC5SRB7KCAIEE,"[2, 2]",5,2003-08-20,2,2,100.0,PlayStation 2 Games,,Silent Hill 3,2003,8,2003-08
34957,B00007LV7Y,A7P7ZBSC10APW,"[1, 1]",4,2005-03-27,1,1,100.0,PlayStation 2 Games,,Silent Hill 3,2005,3,2005-03
34958,B00007LV7Y,AD0J5KK4WQXNS,"[6, 6]",4,2003-11-19,6,6,100.0,PlayStation 2 Games,,Silent Hill 3,2003,11,2003-11
34959,B00007LV7Y,A10IJF7UD9I86G,"[14, 24]",5,2002-12-27,14,24,58.0,PlayStation 2 Games,,Silent Hill 3,2002,12,2002-12
34960,B00007LV7Y,A3W13VVBRY5GL7,"[10, 14]",2,2004-05-20,10,14,71.0,PlayStation 2 Games,,Silent Hill 3,2004,5,2004-05
34961,B00007LV7Y,A270O2KFBD8K6W,"[8, 22]",4,2003-10-14,8,22,36.0,PlayStation 2 Games,,Silent Hill 3,2003,10,2003-10
34962,B00007LV7Y,A1JHJ48J9EZNMH,"[1, 2]",4,2004-02-29,1,2,50.0,PlayStation 2 Games,,Silent Hill 3,2004,2,2004-02
34963,B00007LV7Y,A1Z847VYBJ9H9A,"[2, 2]",5,2012-03-15,2,2,100.0,PlayStation 2 Games,,Silent Hill 3,2012,3,2012-03
34964,B00007LV7Y,A52FJFFWZTNFY,"[0, 0]",5,2004-02-17,0,0,,PlayStation 2 Games,,Silent Hill 3,2004,2,2004-02
34967,B00007LV7Y,A2D63YVNIA9027,"[0, 2]",5,2003-03-06,0,2,,PlayStation 2 Games,,Silent Hill 3,2003,3,2003-03
34970,B00007LV7Y,A5NNCLLI764OE,"[2, 2]",4,2004-06-21,2,2,100.0,PlayStation 2 Games,,Silent Hill 3,2004,6,2004-06
34971,B00007LV7Y,A38DQCCC64K4W,"[0, 0]",5,2006-10-13,0,0,,PlayStation 2 Games,,Silent Hill 3,2006,10,2006-10
34972,B00007LV7Y,A3082ZTQD6YJFD,"[1, 1]",4,2003-08-22,1,1,100.0,PlayStation 2 Games,,Silent Hill 3,2003,8,2003-08
34975,B00007LV7Y,A161ROLACFAEXH,"[1, 4]",3,2011-12-19,1,4,25.0,PlayStation 2 Games,,Silent Hill 3,2011,12,2011-12
34977,B00007LV7Y,A8NHN9UPML858,"[1, 3]",5,2008-09-20,1,3,33.0,PlayStation 2 Games,,Silent Hill 3,2008,9,2008-09
35291,B000083JTR,A32U48NPM01NIU,"[0, 0]",5,2013-01-03,0,0,,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2013,1,2013-01
35297,B000083JTR,A37HCSGGRH8UO6,"[6, 7]",5,2003-08-01,6,7,86.0,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2003,8,2003-08
35298,B000083JTR,AUR2CCN49HQXA,"[0, 8]",2,2003-04-22,0,8,,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2003,4,2003-04
35299,B000083JTR,A3E0IFPCA7KKP9,"[4, 4]",4,2003-12-28,4,4,100.0,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2003,12,2003-12
35300,B000083JTR,AJ5ZNIWA418M,"[1, 1]",3,2003-09-25,1,1,100.0,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2003,9,2003-09
35301,B000083JTR,A1Z1DI1O6FWC57,"[0, 0]",3,2014-06-20,0,0,,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2014,6,2014-06
35302,B000083JTR,A2EHCZQTCWVXPV,"[0, 0]",4,2007-02-07,0,0,,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2007,2,2007-02
35304,B000083JTR,A3NN4RTUN0LHBN,"[1, 4]",3,2004-01-01,1,4,25.0,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2004,1,2004-01
35306,B000083JTR,A1HJ3FXGGCVQDA,"[0, 1]",4,2004-05-18,0,1,,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2004,5,2004-05
35311,B000083JTR,A1RNL38FZSTVWK,"[2, 2]",4,2003-10-29,2,2,100.0,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2003,10,2003-10
35312,B000083JTR,A3V6Z4RCDGRC44,"[10, 15]",4,2003-05-22,10,15,67.0,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2003,5,2003-05
35313,B000083JTR,A2QP26XNESJQEQ,"[1, 1]",5,2004-05-30,1,1,100.0,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2004,5,2004-05
35316,B000083JTR,A2ZDEIO803CM2L,"[0, 0]",4,2006-12-06,0,0,,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2006,12,2006-12
35317,B000083JTR,A3GKGQWAMDK2T,"[2, 6]",3,2005-04-23,2,6,33.0,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2005,4,2005-04
35318,B000083JTR,A329UD6AW15LW1,"[0, 0]",5,2011-07-13,0,0,,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2011,7,2011-07
35319,B000083JTR,AJKWF4W7QD4NS,"[7, 9]",5,2003-04-13,7,9,78.0,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2003,4,2003-04
35320,B000083JTR,A2QH5NMHW1KTJ1,"[0, 1]",3,2003-12-25,0,1,,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2003,12,2003-12
35326,B000083JTR,A27G1POW0Z52SI,"[0, 0]",5,2013-12-04,0,0,,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2013,12,2013-12
35330,B000083JTR,AQI2CW6UKF1ES,"[0, 2]",4,2003-04-22,0,2,,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2003,4,2003-04
35331,B000083JTR,A1NAV0Q37XP6HI,"[0, 0]",4,2003-02-23,0,0,,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2003,2,2003-02
35332,B000083JTR,AZNKIND8TQ588,"[0, 0]",5,2004-10-11,0,0,,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2004,10,2004-10
35335,B000083JTR,A3IS23397LB45,"[0, 0]",5,2014-05-30,0,0,,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2014,5,2014-05
35337,B000083JTR,A3MPGKS5GBCQGB,"[0, 1]",4,2003-06-02,0,1,,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2003,6,2003-06
35338,B000083JTR,A3VVKAIS45TOWF,"[2, 2]",5,2004-11-26,2,2,100.0,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2004,11,2004-11
35339,B000083JTR,A2F7Q3UC6QTY0T,"[0, 0]",5,2003-10-09,0,0,,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2003,10,2003-10
35340,B000083JTR,A3IG8OQSK5YR5D,"[0, 0]",4,2003-06-17,0,0,,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2003,6,2003-06
35341,B000083JTR,A28O7EFLUY5UUL,"[2, 6]",5,2003-04-07,2,6,33.0,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2003,4,2003-04
35342,B000083JTR,AV5OTQX8APCYI,"[0, 0]",5,2004-06-01,0,0,,PlayStation 2 Games,,Tom Clancy's Splinter Cell - PlayStation 2 (Jewel case),2004,6,2004-06
35406,B000084313,AMP7TQRWAIE84,"[0, 2]",3,2007-11-22,0,2,,Game Boy Advance Games,,Pokemon Ruby Version - Game Boy Advance,2007,11,2007-11
35410,B000084313,A2582KMXLK2P06,"[3, 5]",5,2006-11-08,3,5,60.0,Game Boy Advance Games,,Pokemon Ruby Version - Game Boy Advance,2006,11,2006-11
35411,B000084313,A1IAQOSPATLKWO,"[0, 1]",3,2008-03-09,0,1,,Game Boy Advance Games,,Pokemon Ruby Version - Game Boy Advance,2008,3,2008-03
35412,B000084313,AU84JL8P3AQLE,"[29, 32]",5,2003-02-18,29,32,91.0,Game Boy Advance Games,,Pokemon Ruby Version - Game Boy Advance,2003,2,2003-02
35421,B000084313,A1KLTDLYHUW89O,"[0, 1]",4,2003-06-07,0,1,,Game Boy Advance Games,,Pokemon Ruby Version - Game Boy Advance,2003,6,2003-06
35423,B000084313,A1HL50YP5W9CQ1,"[3, 4]",4,2003-04-08,3,4,75.0,Game Boy Advance Games,,Pokemon Ruby Version - Game Boy Advance,2003,4,2003-04
35436,B000084313,A5ZNL7B710PCB,"[0, 0]",4,2003-04-11,0,0,,Game Boy Advance Games,,Pokemon Ruby Version - Game Boy Advance,2003,4,2003-04
35437,B000084313,A3OIC7GUFY941R,"[0, 0]",5,2004-04-05,0,0,,Game Boy Advance Games,,Pokemon Ruby Version - Game Boy Advance,2004,4,2004-04
35439,B000084313,A3L1MEXXDI4Q77,"[0, 0]",4,2003-03-19,0,0,,Game Boy Advance Games,,Pokemon Ruby Version - Game Boy Advance,2003,3,2003-03
35440,B000084313,A1C7BWPATO40VA,"[0, 1]",3,2004-04-13,0,1,,Game Boy Advance Games,,Pokemon Ruby Version - Game Boy Advance,2004,4,2004-04
35442,B000084313,A1RJSAWAFCKP43,"[65, 71]",4,2003-10-28,65,71,92.0,Game Boy Advance Games,,Pokemon Ruby Version - Game Boy Advance,2003,10,2003-10
35443,B000084313,A16K36FRDNIWIX,"[0, 0]",5,2003-03-12,0,0,,Game Boy Advance Games,,Pokemon Ruby Version - Game Boy Advance,2003,3,2003-03
35447,B000084313,A3BOCSJRO5P6LG,"[25, 28]",5,2003-03-23,25,28,89.0,Game Boy Advance Games,,Pokemon Ruby Version - Game Boy Advance,2003,3,2003-03
35449,B000084313,A2Z6FT650NML9K,"[1, 4]",3,2003-03-24,1,4,25.0,Game Boy Advance Games,,Pokemon Ruby Version - Game Boy Advance,2003,3,2003-03
35450,B000084313,AS4OMSSR63O8G,"[0, 1]",5,2003-06-26,0,1,,Game Boy Advance Games,,Pokemon Ruby Version - Game Boy Advance,2003,6,2003-06
35452,B000084313,A3NJ402Y0HSDU6,"[1, 4]",2,2003-04-18,1,4,25.0,Game Boy Advance Games,,Pokemon Ruby Version - Game Boy Advance,2003,4,2003-04
35458,B000084318,A32GCOTGFJ9XC3,"[4, 7]",3,2007-01-07,4,7,57.0,GameCube Games,,The Legend of Zelda: The Wind Waker,2007,1,2007-01
35459,B000084318,A31RM5QU797HPJ,"[2, 2]",5,2003-03-31,2,2,100.0,GameCube Games,,The Legend of Zelda: The Wind Waker,2003,3,2003-03
35460,B000084318,A2KLT8PCDS4YZY,"[0, 2]",3,2003-04-20,0,2,,GameCube Games,,The Legend of Zelda: The Wind Waker,2003,4,2003-04
35461,B000084318,AUJLN5NVTOAWO,"[0, 7]",5,2004-10-29,0,7,,GameCube Games,,The Legend of Zelda: The Wind Waker,2004,10,2004-10
35462,B000084318,A16J7CP01WNVGC,"[1, 1]",5,2003-03-23,1,1,100.0,GameCube Games,,The Legend of Zelda: The Wind Waker,2003,3,2003-03
35464,B000084318,A1BVIANDXCX7RW,"[0, 0]",5,2003-06-18,0,0,,GameCube Games,,The Legend of Zelda: The Wind Waker,2003,6,2003-06
35468,B000084318,ABSX5TGEGRH76,"[1, 2]",4,2003-07-06,1,2,50.0,GameCube Games,,The Legend of Zelda: The Wind Waker,2003,7,2003-07
